Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
SERANGOON NORTH,Serangoon,15940.0,7840.0,8100.0,12580,6190,6380,1160,570,590,1910,960,950,300,120,180
SERANGOON NORTH IND ESTATE,Serangoon,,,,-,-,-,-,-,-,-,-,-,-,-,-
SHANGRI-LA,Ang Mo Kio,15960.0,7780.0,8180.0,12350,6020,6330,1760,850,900,1480,760,730,370,160,220
SHIPYARD,Boon Lay,,,,-,-,-,-,-,-,-,-,-,-,-,-
SIGLAP,Bedok,6440.0,2980.0,3460.0,4570,2070,2500,120,50,80,1380,670,700,370,190,180
SIMEI,Tampines,39450.0,19050.0,20400.0,28460,13610,14850,4530,2230,2310,4810,2450,2370,1640,770,880
SIMPANG NORTH,Simpang,,,,-,-,-,-,-,-,-,-,-,-,-,-
SIMPANG SOUTH,Simpang,,,,-,-,-,-,-,-,-,-,-,-,-,-
SINGAPORE GENERAL HOSPITAL,Bukit Merah,,,,-,-,-,-,-,-,-,-,-,-,-,-
SINGAPORE POLYTECHNIC,Queenstown,,,,-,-,-,-,-,-,-,-,-,-,-,-
SOMERSET,Orchard,140.0,60.0,80.0,120,50,70,-,-,-,10,-,-,10,10,10
SOUTHERN GROUP,Southern Islands,,,,-,-,-,-,-,-,-,-,-,-,-,-
SPRINGLEAF,Yishun,4370.0,2180.0,2190.0,4010,2000,2010,40,20,20,220,110,100,110,50,60
STRAITS VIEW,Straits View,,,,-,-,-,-,-,-,-,-,-,-,-,-
SUDONG,Western Islands,,,,-,-,-,-,-,-,-,-,-,-,-,-
SUNGEI ROAD,Rochor,2050.0,1020.0,1030.0,1370,690,690,380,190,190,270,140,130,30,10,20
SUNSET WAY,Clementi,5650.0,2640.0,3010.0,4740,2190,2550,180,80,90,360,180,180,380,190,190
SWISS CLUB,Bukit Timah,5350.0,2470.0,2880.0,4540,2060,2480,50,20,30,260,140,120,490,240,250
TAGORE,Ang Mo Kio,7950.0,3790.0,4160.0,7160,3400,3760,70,30,40,500,250,250,220,110,110
TAI SENG,Hougang,13830.0,6670.0,7160.0,11370,5440,5930,1130,560,570,1070,570,500,270,110,160
TAMAN JURONG,Jurong West,39920.0,19920.0,20000.0,28610,14350,14270,6500,3210,3290,3910,1980,1930,890,380,510
TAMPINES EAST,Tampines,130970.0,63960.0,67010.0,84190,40920,43280,32470,15960,16510,10320,5320,5000,3990,1770,2220
TAMPINES NORTH,Tampines,8040.0,3950.0,4090.0,5240,2570,2670,2200,1100,1100,400,200,190,210,80,130
TAMPINES WEST,Tampines,79660.0,39150.0,40510.0,54290,26470,27820,17290,8630,8660,6050,3120,2930,2030,940,1100
TANGLIN,Orchard,380.0,170.0,210.0,220,100,130,10,-,-,50,30,30,90,40,50
TANGLIN HALT,Queenstown,10590.0,4960.0,5630.0,8470,3920,4550,920,450,470,850,430,410,350,150,200
TANJONG IRAU,Simpang,,,,-,-,-,-,-,-,-,-,-,-,-,-
TANJONG PAGAR,Downtown Core,670.0,350.0,320.0,500,240,260,10,-,-,50,40,10,110,70,40
TANJONG RHU,Kallang,11110.0,5230.0,5880.0,6560,2970,3590,390,190,190,3520,1730,1800,640,340,300
TEBAN GARDENS,Jurong East,18530.0,9250.0,9280.0,11490,5730,5760,4590,2270,2320,2110,1110,1000,350,140,210
TECK WHYE,Choa Chu Kang,24330.0,12190.0,12140.0,15450,7760,7690,5830,2930,2910,2530,1290,1240,510,210,300
TELOK BLANGAH DRIVE,Bukit Merah,19310.0,9170.0,10140.0,15760,7430,8330,1340,680,660,1730,870,860,490,200,290
TELOK BLANGAH RISE,Bukit Merah,12160.0,5740.0,6420.0,9760,4570,5190,700,350,350,1400,690,710,300,130,170
TELOK BLANGAH WAY,Bukit Merah,9230.0,4610.0,4620.0,7100,3520,3580,1010,540,470,930,480,460,180,70,120
TENGAH INDUSTRIAL ESTATE,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
TENGEH,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
THE WHARVES,Sembawang,,,,-,-,-,-,-,-,-,-,-,-,-,-
TIONG BAHRU,Bukit Merah,12890.0,5990.0,6900.0,11400,5260,6150,250,110,140,780,390,380,460,230,240
TIONG BAHRU STATION,Bukit Merah,15120.0,7140.0,7980.0,12500,5830,6660,920,450,470,1170,600,580,530,260,280
TOA PAYOH CENTRAL,Toa Payoh,28030.0,12960.0,15070.0,23620,10840,12780,1740,880,860,1780,850,930,870,380,490
TOA PAYOH WEST,Toa Payoh,14350.0,6570.0,7780.0,12240,5540,6700,640,320,320,870,460,410,610,260,350
TOH GUAN,Jurong East,14590.0,7230.0,7360.0,11160,5510,5650,1560,770,790,1470,770,700,390,180,210
TOH TUCK,Clementi,,,,-,-,-,-,-,-,-,-,-,-,-,-
TOWNSVILLE,Ang Mo Kio,21140.0,9930.0,11210.0,17360,8150,9210,1440,710,730,1760,840,920,590,240,350
TRAFALGAR,Hougang,49190.0,24950.0,24240.0,37000,18710,18290,5720,2900,2820,4920,2640,2280,1560,700,860
TUAS BAY,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
TUAS NORTH,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
TUAS PROMENADE,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
TUAS VIEW,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
TUAS VIEW EXTENSION,Tuas,,,,-,-,-,-,-,-,-,-,-,-,-,-
TUKANG,Boon Lay,,,,-,-,-,-,-,-,-,-,-,-,-,-
TURF CLUB,Sungei Kadut,670.0,330.0,340.0,570,290,290,-,-,-,80,40,40,20,10,10
TYERSALL,Tanglin,3880.0,1810.0,2070.0,2960,1360,1600,60,20,30,320,150,170,550,280,270
ULU PANDAN,Bukit Timah,11020.0,5280.0,5740.0,9260,4390,4880,80,30,50,660,330,330,1020,530,490
UPPER PAYA LEBAR,Serangoon,16920.0,8160.0,8760.0,14820,7130,7690,510,250,260,1250,620,630,340,160,170
UPPER THOMSON,Bishan,29390.0,14160.0,15230.0,25500,12230,13280,910,450,450,2010,1000,1010,970,480,490
VICTORIA,Rochor,1760.0,840.0,920.0,1510,710,800,30,10,20,180,100,80,50,30,20
WATERWAY EAST,Punggol,50580.0,25050.0,25530.0,37530,18640,18900,8530,4250,4280,3390,1770,1630,1120,400,720
WENYA,Jurong West,8280.0,4170.0,4110.0,5360,2700,2670,1520,770,750,1150,590,560,250,110,140
WEST COAST,Clementi,6870.0,3370.0,3500.0,6190,3020,3170,70,30,40,340,180,160,270,140,140
WOODGROVE,Woodlands,33790.0,16870.0,16920.0,21440,10590,10840,7870,3980,3890,3660,1920,1740,830,380,450
WOODLANDS EAST,Woodlands,98990.0,49490.0,49500.0,60510,30190,30320,24560,12260,12290,11420,5880,5530,2500,1150,1350
WOODLANDS REGIONAL CENTRE,Woodlands,,,,-,-,-,-,-,-,-,-,-,-,-,-
WOODLANDS SOUTH,Woodlands,41010.0,20540.0,20470.0,25940,12900,13040,9850,4990,4870,4130,2130,2000,1080,520,560
WOODLANDS WEST,Woodlands,33910.0,17260.0,16650.0,19730,10120,9600,9840,5010,4830,3660,1860,1800,680,270,420
WOODLEIGH,Toa Payoh,2460.0,1200.0,1260.0,2190,1060,1120,10,10,10,140,70,70,110,50,60
XILIN,Tampines,1770.0,890.0,880.0,1470,730,750,70,40,40,120,70,50,90,50,40
YEW TEE,Choa Chu Kang,40380.0,20100.0,20280.0,29390,14550,14840,6080,3050,3030,3540,1830,1710,1380,680,700
YIO CHU KANG,Ang Mo Kio,,,,-,-,-,-,-,-,-,-,-,-,-,-
YIO CHU KANG EAST,Ang Mo Kio,4210.0,2090.0,2120.0,3740,1850,1890,60,30,30,280,140,140,120,70,50
YIO CHU KANG NORTH,Ang Mo Kio,,,,-,-,-,-,-,-,-,-,-,-,-,-
YIO CHU KANG WEST,Ang Mo Kio,24150.0,11520.0,12630.0,19690,9350,10340,2020,1000,1020,1860,910,950,590,270,320
YISHUN CENTRAL,Yishun,2630.0,1290.0,1340.0,2300,1130,1170,140,70,80,140,70,70,50,20,30
YISHUN EAST,Yishun,60670.0,30030.0,30640.0,40290,19960,20330,12670,6260,6410,6110,3160,2940,1600,650,950
YISHUN SOUTH,Yishun,42250.0,20670.0,21580.0,30680,15000,15680,6230,3100,3130,4230,2130,2090,1110,440,670
YISHUN WEST,Yishun,53910.0,26720.0,27190.0,36930,18190,18730,9800,4950,4850,5720,2940,2780,1460,640,830
YUHUA EAST,Jurong East,24770.0,12120.0,12650.0,17960,8710,9250,3570,1810,1760,2700,1370,1330,550,240,310
YUHUA WEST,Jurong East,19160.0,9530.0,9630.0,13480,6670,6820,2940,1490,1460,2220,1150,1060,510,230,290
YUNNAN,Jurong West,67500.0,34250.0,33250.0,44790,22630,22160,13970,7040,6930,7600,4080,3520,1150,500,640
