Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
MOUNTBATTEN,Marine Parade,9980.0,4720.0,5260.0,7140.0,3360.0,3780.0,70.0,40.0,40.0,2220.0,1050.0,1170.0,550.0,280.0,270.0
MURAI,Western Water Catchment,640.0,290.0,350.0,510.0,220.0,290.0,0.0,0.0,0.0,70.0,40.0,30.0,60.0,30.0,30.0
NASSIM,Tanglin,9520.0,4410.0,5110.0,7460.0,3360.0,4100.0,110.0,50.0,60.0,710.0,370.0,350.0,1240.0,640.0,600.0
NATIONAL UNIVERSITY OF S'PORE,Queenstown,240.0,70.0,170.0,220.0,60.0,160.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0
NATURE RESERVE,Bukit Panjang,3850.0,1810.0,2040.0,3170.0,1470.0,1710.0,80.0,30.0,50.0,300.0,150.0,150.0,300.0,160.0,140.0
NEE SOON,Yishun,890.0,440.0,450.0,780.0,380.0,400.0,20.0,10.0,10.0,60.0,30.0,30.0,30.0,20.0,10.0
NEWTON CIRCUS,Newton,250.0,140.0,110.0,180.0,100.0,80.0,0.0,0.0,0.0,20.0,10.0,10.0,50.0,30.0,20.0
NICOLL,Downtown Core,290.0,150.0,140.0,210.0,110.0,100.0,0.0,0.0,0.0,20.0,10.0,10.0,60.0,30.0,30.0
NORTH COAST,Woodlands,12100.0,6130.0,5970.0,6840.0,3490.0,3350.0,3450.0,1720.0,1730.0,1600.0,820.0,770.0,220.0,100.0,120.0
NORTH-EASTERN ISLANDS,North-Eastern Islands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHLAND,Yishun,28000.0,13930.0,14070.0,17750.0,8820.0,8940.0,6290.0,3130.0,3160.0,3000.0,1530.0,1470.0,970.0,460.0,510.0
NORTHSHORE,Punggol,450.0,230.0,220.0,370.0,190.0,180.0,30.0,20.0,20.0,30.0,20.0,10.0,20.0,10.0,10.0
ONE NORTH,Queenstown,720.0,350.0,370.0,460.0,220.0,250.0,0.0,0.0,0.0,50.0,30.0,20.0,200.0,100.0,100.0
ONE TREE HILL,River Valley,2060.0,910.0,1150.0,1450.0,630.0,830.0,10.0,0.0,10.0,290.0,130.0,160.0,310.0,150.0,160.0
ORANGE GROVE,Newton,1790.0,840.0,950.0,1200.0,540.0,660.0,20.0,10.0,10.0,170.0,80.0,90.0,410.0,210.0,190.0
OXLEY,River Valley,1490.0,670.0,820.0,1160.0,500.0,660.0,20.0,10.0,10.0,80.0,40.0,40.0,220.0,110.0,110.0
PANDAN,Clementi,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANG SUA,Sungei Kadut,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASIR PANJANG 1,Queenstown,4500.0,2200.0,2300.0,3890.0,1880.0,2010.0,40.0,20.0,20.0,270.0,150.0,130.0,300.0,160.0,140.0
PASIR PANJANG 2,Queenstown,3060.0,1490.0,1570.0,2520.0,1200.0,1310.0,60.0,40.0,30.0,220.0,120.0,100.0,260.0,140.0,130.0
PASIR RIS CENTRAL,Pasir Ris,32240.0,15750.0,16490.0,23710.0,11510.0,12190.0,4700.0,2290.0,2420.0,2630.0,1380.0,1250.0,1200.0,570.0,630.0
PASIR RIS DRIVE,Pasir Ris,54420.0,26940.0,27480.0,32300.0,15900.0,16400.0,15080.0,7520.0,7560.0,4840.0,2470.0,2370.0,2200.0,1040.0,1160.0
PASIR RIS PARK,Pasir Ris,7620.0,3760.0,3860.0,5960.0,2900.0,3060.0,790.0,400.0,390.0,560.0,290.0,270.0,320.0,180.0,150.0
PASIR RIS WAFER FAB PARK,Pasir Ris,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASIR RIS WEST,Pasir Ris,35790.0,17720.0,18070.0,23710.0,11700.0,12010.0,7330.0,3660.0,3670.0,3410.0,1740.0,1680.0,1340.0,630.0,710.0
PATERSON,River Valley,240.0,110.0,130.0,170.0,70.0,100.0,10.0,0.0,0.0,30.0,20.0,10.0,40.0,20.0,20.0
PAYA LEBAR EAST,Paya Lebar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYA LEBAR NORTH,Paya Lebar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYA LEBAR WEST,Paya Lebar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEARL'S HILL,Outram,6120.0,3370.0,2750.0,4460.0,2450.0,2010.0,1070.0,570.0,500.0,480.0,300.0,180.0,100.0,40.0,60.0
PEI CHUN,Toa Payoh,10360.0,4940.0,5420.0,8620.0,4120.0,4500.0,820.0,380.0,450.0,610.0,320.0,290.0,310.0,120.0,180.0
PENG SIANG,Choa Chu Kang,34730.0,17340.0,17390.0,23160.0,11540.0,11610.0,6990.0,3510.0,3480.0,3730.0,1900.0,1830.0,860.0,390.0,460.0
PENJURU CRESCENT,Jurong East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEOPLE'S PARK,Outram,300.0,140.0,160.0,290.0,130.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHILLIP,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONEER SECTOR,Pioneer,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAB,Paya Lebar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLANTATION,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORT,Queenstown,120.0,60.0,60.0,110.0,60.0,60.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
POTONG PASIR,Toa Payoh,11720.0,5660.0,6060.0,9750.0,4650.0,5100.0,520.0,270.0,260.0,1250.0,650.0,600.0,200.0,90.0,110.0
PULAU PUNGGOL BARAT,Seletar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULAU PUNGGOL TIMOR,Seletar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULAU SELETAR,Simpang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL CANAL,Punggol,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL FIELD,Punggol,48960.0,24120.0,24840.0,37330.0,18370.0,18960.0,6010.0,2950.0,3060.0,4270.0,2210.0,2060.0,1350.0,590.0,760.0
PUNGGOL TOWN CENTRE,Punggol,22260.0,10920.0,11340.0,17040.0,8380.0,8660.0,3510.0,1750.0,1760.0,1140.0,570.0,570.0,580.0,220.0,350.0
QUEENSWAY,Queenstown,270.0,130.0,140.0,200.0,90.0,110.0,10.0,0.0,10.0,20.0,20.0,10.0,30.0,20.0,10.0
RAFFLES PLACE,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REDHILL,Bukit Merah,10620.0,5150.0,5470.0,8530.0,4090.0,4450.0,860.0,430.0,430.0,900.0,490.0,420.0,330.0,150.0,180.0
RESERVOIR VIEW,Sungei Kadut,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDOUT,Tanglin,1520.0,690.0,830.0,1090.0,500.0,600.0,10.0,0.0,0.0,160.0,70.0,80.0,270.0,120.0,150.0
RIVERVALE,Sengkang,59690.0,29460.0,30230.0,44390.0,21990.0,22410.0,7200.0,3560.0,3650.0,6490.0,3220.0,3270.0,1610.0,700.0,910.0
ROBERTSON QUAY,Singapore River,3000.0,1390.0,1610.0,2130.0,950.0,1190.0,20.0,10.0,10.0,280.0,140.0,140.0,570.0,300.0,280.0
ROCHOR CANAL,Rochor,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAFTI,Jurong West,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMULUN,Boon Lay,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAUJANA,Bukit Panjang,25920.0,12830.0,13090.0,18540.0,9140.0,9400.0,4630.0,2350.0,2290.0,2250.0,1150.0,1100.0,510.0,200.0,310.0
SELEGIE,Rochor,210.0,110.0,100.0,130.0,70.0,60.0,0.0,0.0,0.0,60.0,30.0,30.0,20.0,10.0,10.0
SELETAR,Seletar,280.0,130.0,150.0,180.0,80.0,100.0,10.0,0.0,0.0,30.0,20.0,10.0,70.0,30.0,40.0
SELETAR AEROSPACE PARK,Seletar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELETAR HILLS,Serangoon,14710.0,7250.0,7460.0,13060.0,6430.0,6630.0,160.0,80.0,90.0,1030.0,530.0,500.0,460.0,210.0,240.0
SEMAKAU,Western Islands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMBAWANG CENTRAL,Sembawang,34800.0,17060.0,17740.0,25130.0,12270.0,12860.0,5180.0,2550.0,2630.0,3180.0,1620.0,1560.0,1310.0,620.0,690.0
SEMBAWANG EAST,Sembawang,17340.0,8550.0,8790.0,10850.0,5430.0,5420.0,4610.0,2230.0,2380.0,1480.0,750.0,720.0,400.0,140.0,270.0
SEMBAWANG HILLS,Ang Mo Kio,6860.0,3210.0,3650.0,6100.0,2850.0,3250.0,70.0,40.0,40.0,460.0,210.0,250.0,220.0,110.0,110.0
SEMBAWANG NORTH,Sembawang,25540.0,12750.0,12790.0,17670.0,8760.0,8900.0,4220.0,2090.0,2120.0,2510.0,1360.0,1150.0,1150.0,530.0,610.0
SEMBAWANG SPRINGS,Sembawang,9090.0,4480.0,4610.0,7950.0,3930.0,4020.0,340.0,150.0,190.0,590.0,300.0,280.0,220.0,100.0,120.0
SEMBAWANG STRAITS,Sembawang,1910.0,980.0,930.0,1510.0,760.0,750.0,90.0,40.0,50.0,260.0,150.0,110.0,60.0,30.0,20.0
SENGKANG TOWN CENTRE,Sengkang,61790.0,30290.0,31500.0,48060.0,23540.0,24520.0,6420.0,3160.0,3250.0,5750.0,2930.0,2830.0,1560.0,660.0,900.0
SENGKANG WEST,Sengkang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENJA,Bukit Panjang,20180.0,9920.0,10260.0,14810.0,7330.0,7480.0,3360.0,1630.0,1730.0,1560.0,790.0,770.0,440.0,170.0,270.0
SENNETT,Toa Payoh,7200.0,3480.0,3720.0,6510.0,3130.0,3380.0,120.0,60.0,70.0,380.0,200.0,180.0,190.0,90.0,90.0
SENOKO NORTH,Sembawang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENOKO SOUTH,Sembawang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENOKO WEST,Woodlands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENTOSA,Southern Islands,1940.0,920.0,1020.0,1010.0,450.0,560.0,30.0,10.0,20.0,200.0,100.0,100.0,700.0,370.0,330.0
SERANGOON CENTRAL,Serangoon,24760.0,11800.0,12960.0,20750.0,9830.0,10920.0,1030.0,530.0,500.0,2420.0,1200.0,1220.0,560.0,240.0,320.0
SERANGOON GARDEN,Serangoon,36080.0,17220.0,18860.0,29920.0,14230.0,15690.0,1950.0,970.0,990.0,3180.0,1560.0,1620.0,1030.0,470.0,570.0
SERANGOON NORTH,Serangoon,15940.0,7840.0,8100.0,12580.0,6190.0,6380.0,1160.0,570.0,590.0,1910.0,960.0,950.0,300.0,120.0,180.0
SERANGOON NORTH IND ESTATE,Serangoon,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHANGRI-LA,Ang Mo Kio,15960.0,7780.0,8180.0,12350.0,6020.0,6330.0,1760.0,850.0,900.0,1480.0,760.0,730.0,370.0,160.0,220.0
SHIPYARD,Boon Lay,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIGLAP,Bedok,6440.0,2980.0,3460.0,4570.0,2070.0,2500.0,120.0,50.0,80.0,1380.0,670.0,700.0,370.0,190.0,180.0
SIMEI,Tampines,39450.0,19050.0,20400.0,28460.0,13610.0,14850.0,4530.0,2230.0,2310.0,4810.0,2450.0,2370.0,1640.0,770.0,880.0
SIMPANG NORTH,Simpang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMPANG SOUTH,Simpang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE GENERAL HOSPITAL,Bukit Merah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE POLYTECHNIC,Queenstown,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOMERSET,Orchard,140.0,60.0,80.0,120.0,50.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0
SOUTHERN GROUP,Southern Islands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRINGLEAF,Yishun,4370.0,2180.0,2190.0,4010.0,2000.0,2010.0,40.0,20.0,20.0,220.0,110.0,100.0,110.0,50.0,60.0
STRAITS VIEW,Straits View,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUDONG,Western Islands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNGEI ROAD,Rochor,2050.0,1020.0,1030.0,1370.0,690.0,690.0,380.0,190.0,190.0,270.0,140.0,130.0,30.0,10.0,20.0
SUNSET WAY,Clementi,5650.0,2640.0,3010.0,4740.0,2190.0,2550.0,180.0,80.0,90.0,360.0,180.0,180.0,380.0,190.0,190.0
SWISS CLUB,Bukit Timah,5350.0,2470.0,2880.0,4540.0,2060.0,2480.0,50.0,20.0,30.0,260.0,140.0,120.0,490.0,240.0,250.0
TAGORE,Ang Mo Kio,7950.0,3790.0,4160.0,7160.0,3400.0,3760.0,70.0,30.0,40.0,500.0,250.0,250.0,220.0,110.0,110.0
TAI SENG,Hougang,13830.0,6670.0,7160.0,11370.0,5440.0,5930.0,1130.0,560.0,570.0,1070.0,570.0,500.0,270.0,110.0,160.0
TAMAN JURONG,Jurong West,39920.0,19920.0,20000.0,28610.0,14350.0,14270.0,6500.0,3210.0,3290.0,3910.0,1980.0,1930.0,890.0,380.0,510.0
TAMPINES EAST,Tampines,130970.0,63960.0,67010.0,84190.0,40920.0,43280.0,32470.0,15960.0,16510.0,10320.0,5320.0,5000.0,3990.0,1770.0,2220.0
TAMPINES NORTH,Tampines,8040.0,3950.0,4090.0,5240.0,2570.0,2670.0,2200.0,1100.0,1100.0,400.0,200.0,190.0,210.0,80.0,130.0
TAMPINES WEST,Tampines,79660.0,39150.0,40510.0,54290.0,26470.0,27820.0,17290.0,8630.0,8660.0,6050.0,3120.0,2930.0,2030.0,940.0,1100.0
TANGLIN,Orchard,380.0,170.0,210.0,220.0,100.0,130.0,10.0,0.0,0.0,50.0,30.0,30.0,90.0,40.0,50.0
TANGLIN HALT,Queenstown,10590.0,4960.0,5630.0,8470.0,3920.0,4550.0,920.0,450.0,470.0,850.0,430.0,410.0,350.0,150.0,200.0
TANJONG IRAU,Simpang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANJONG PAGAR,Downtown Core,670.0,350.0,320.0,500.0,240.0,260.0,10.0,0.0,0.0,50.0,40.0,10.0,110.0,70.0,40.0
TANJONG RHU,Kallang,11110.0,5230.0,5880.0,6560.0,2970.0,3590.0,390.0,190.0,190.0,3520.0,1730.0,1800.0,640.0,340.0,300.0
TEBAN GARDENS,Jurong East,18530.0,9250.0,9280.0,11490.0,5730.0,5760.0,4590.0,2270.0,2320.0,2110.0,1110.0,1000.0,350.0,140.0,210.0
TECK WHYE,Choa Chu Kang,24330.0,12190.0,12140.0,15450.0,7760.0,7690.0,5830.0,2930.0,2910.0,2530.0,1290.0,1240.0,510.0,210.0,300.0
TELOK BLANGAH DRIVE,Bukit Merah,19310.0,9170.0,10140.0,15760.0,7430.0,8330.0,1340.0,680.0,660.0,1730.0,870.0,860.0,490.0,200.0,290.0
TELOK BLANGAH RISE,Bukit Merah,12160.0,5740.0,6420.0,9760.0,4570.0,5190.0,700.0,350.0,350.0,1400.0,690.0,710.0,300.0,130.0,170.0
TELOK BLANGAH WAY,Bukit Merah,9230.0,4610.0,4620.0,7100.0,3520.0,3580.0,1010.0,540.0,470.0,930.0,480.0,460.0,180.0,70.0,120.0
TENGAH INDUSTRIAL ESTATE,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TENGEH,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE WHARVES,Sembawang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIONG BAHRU,Bukit Merah,12890.0,5990.0,6900.0,11400.0,5260.0,6150.0,250.0,110.0,140.0,780.0,390.0,380.0,460.0,230.0,240.0
TIONG BAHRU STATION,Bukit Merah,15120.0,7140.0,7980.0,12500.0,5830.0,6660.0,920.0,450.0,470.0,1170.0,600.0,580.0,530.0,260.0,280.0
TOA PAYOH CENTRAL,Toa Payoh,28030.0,12960.0,15070.0,23620.0,10840.0,12780.0,1740.0,880.0,860.0,1780.0,850.0,930.0,870.0,380.0,490.0
TOA PAYOH WEST,Toa Payoh,14350.0,6570.0,7780.0,12240.0,5540.0,6700.0,640.0,320.0,320.0,870.0,460.0,410.0,610.0,260.0,350.0
TOH GUAN,Jurong East,14590.0,7230.0,7360.0,11160.0,5510.0,5650.0,1560.0,770.0,790.0,1470.0,770.0,700.0,390.0,180.0,210.0
TOH TUCK,Clementi,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOWNSVILLE,Ang Mo Kio,21140.0,9930.0,11210.0,17360.0,8150.0,9210.0,1440.0,710.0,730.0,1760.0,840.0,920.0,590.0,240.0,350.0
TRAFALGAR,Hougang,49190.0,24950.0,24240.0,37000.0,18710.0,18290.0,5720.0,2900.0,2820.0,4920.0,2640.0,2280.0,1560.0,700.0,860.0
TUAS BAY,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS NORTH,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS PROMENADE,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS VIEW,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS VIEW EXTENSION,Tuas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUKANG,Boon Lay,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURF CLUB,Sungei Kadut,670.0,330.0,340.0,570.0,290.0,290.0,0.0,0.0,0.0,80.0,40.0,40.0,20.0,10.0,10.0
TYERSALL,Tanglin,3880.0,1810.0,2070.0,2960.0,1360.0,1600.0,60.0,20.0,30.0,320.0,150.0,170.0,550.0,280.0,270.0
ULU PANDAN,Bukit Timah,11020.0,5280.0,5740.0,9260.0,4390.0,4880.0,80.0,30.0,50.0,660.0,330.0,330.0,1020.0,530.0,490.0
UPPER PAYA LEBAR,Serangoon,16920.0,8160.0,8760.0,14820.0,7130.0,7690.0,510.0,250.0,260.0,1250.0,620.0,630.0,340.0,160.0,170.0
UPPER THOMSON,Bishan,29390.0,14160.0,15230.0,25500.0,12230.0,13280.0,910.0,450.0,450.0,2010.0,1000.0,1010.0,970.0,480.0,490.0
VICTORIA,Rochor,1760.0,840.0,920.0,1510.0,710.0,800.0,30.0,10.0,20.0,180.0,100.0,80.0,50.0,30.0,20.0
WATERWAY EAST,Punggol,50580.0,25050.0,25530.0,37530.0,18640.0,18900.0,8530.0,4250.0,4280.0,3390.0,1770.0,1630.0,1120.0,400.0,720.0
WENYA,Jurong West,8280.0,4170.0,4110.0,5360.0,2700.0,2670.0,1520.0,770.0,750.0,1150.0,590.0,560.0,250.0,110.0,140.0
WEST COAST,Clementi,6870.0,3370.0,3500.0,6190.0,3020.0,3170.0,70.0,30.0,40.0,340.0,180.0,160.0,270.0,140.0,140.0
WOODGROVE,Woodlands,33790.0,16870.0,16920.0,21440.0,10590.0,10840.0,7870.0,3980.0,3890.0,3660.0,1920.0,1740.0,830.0,380.0,450.0
WOODLANDS EAST,Woodlands,98990.0,49490.0,49500.0,60510.0,30190.0,30320.0,24560.0,12260.0,12290.0,11420.0,5880.0,5530.0,2500.0,1150.0,1350.0
WOODLANDS REGIONAL CENTRE,Woodlands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODLANDS SOUTH,Woodlands,41010.0,20540.0,20470.0,25940.0,12900.0,13040.0,9850.0,4990.0,4870.0,4130.0,2130.0,2000.0,1080.0,520.0,560.0
WOODLANDS WEST,Woodlands,33910.0,17260.0,16650.0,19730.0,10120.0,9600.0,9840.0,5010.0,4830.0,3660.0,1860.0,1800.0,680.0,270.0,420.0
WOODLEIGH,Toa Payoh,2460.0,1200.0,1260.0,2190.0,1060.0,1120.0,10.0,10.0,10.0,140.0,70.0,70.0,110.0,50.0,60.0
XILIN,Tampines,1770.0,890.0,880.0,1470.0,730.0,750.0,70.0,40.0,40.0,120.0,70.0,50.0,90.0,50.0,40.0
YEW TEE,Choa Chu Kang,40380.0,20100.0,20280.0,29390.0,14550.0,14840.0,6080.0,3050.0,3030.0,3540.0,1830.0,1710.0,1380.0,680.0,700.0
YIO CHU KANG,Ang Mo Kio,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YIO CHU KANG EAST,Ang Mo Kio,4210.0,2090.0,2120.0,3740.0,1850.0,1890.0,60.0,30.0,30.0,280.0,140.0,140.0,120.0,70.0,50.0
YIO CHU KANG NORTH,Ang Mo Kio,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YIO CHU KANG WEST,Ang Mo Kio,24150.0,11520.0,12630.0,19690.0,9350.0,10340.0,2020.0,1000.0,1020.0,1860.0,910.0,950.0,590.0,270.0,320.0
YISHUN CENTRAL,Yishun,2630.0,1290.0,1340.0,2300.0,1130.0,1170.0,140.0,70.0,80.0,140.0,70.0,70.0,50.0,20.0,30.0
YISHUN EAST,Yishun,60670.0,30030.0,30640.0,40290.0,19960.0,20330.0,12670.0,6260.0,6410.0,6110.0,3160.0,2940.0,1600.0,650.0,950.0
YISHUN SOUTH,Yishun,42250.0,20670.0,21580.0,30680.0,15000.0,15680.0,6230.0,3100.0,3130.0,4230.0,2130.0,2090.0,1110.0,440.0,670.0
YISHUN WEST,Yishun,53910.0,26720.0,27190.0,36930.0,18190.0,18730.0,9800.0,4950.0,4850.0,5720.0,2940.0,2780.0,1460.0,640.0,830.0
YUHUA EAST,Jurong East,24770.0,12120.0,12650.0,17960.0,8710.0,9250.0,3570.0,1810.0,1760.0,2700.0,1370.0,1330.0,550.0,240.0,310.0
YUHUA WEST,Jurong East,19160.0,9530.0,9630.0,13480.0,6670.0,6820.0,2940.0,1490.0,1460.0,2220.0,1150.0,1060.0,510.0,230.0,290.0
YUNNAN,Jurong West,67500.0,34250.0,33250.0,44790.0,22630.0,22160.0,13970.0,7040.0,6930.0,7600.0,4080.0,3520.0,1150.0,500.0,640.0
